title,field_primary_speciality,field_image,field_about_doctor,field_competencies,field_professional_experience,field_education_training,field_conferences_seminars,field_awards_distinctions,field_publications,field_memberships,field_original_url
Dr. Poeniță Monica,Medic primar Medicină Generală,dr-poenita-monica.jpg,,"<p>Medicină generală</p>
<p>Medicină întreprindere</p>","<p>2017- prezent: Medic primar Medicină Generală – NORD Muntenia Hospital</p>
<p>2023: Medic îngrijiri Paliative – Spitalul de Boli Cronice Călinești</p>
<p>2016 – prezent: Medic medicină generală – Direcția de Asistență Socială Topoloveni</p>
<p>2012 – 2017: Medic medicină generală – Centrul medical de îngrijire şi asistentă Academician Nicolae Cajal, București</p>
<p>2006 – 2010: Medic medicină generală – DGAS, București</p>
<p>2003 – 2006: Medic medicină generală – Centrul de îngrijire şi asistență nr. 3, Bucureșt</p>",<p>1999: Doctor Medic Medicină Generală Universitatea de Medicină şi Farmacie ”Carol Davila” Bucureşti</p>,"<p>2009: Atestat de Studii Complementare în Ultrasonografie Generală, Centrul Național de Perfecționare în Domeniul Sanitar – Bucureşti</p>
<p>2008: Atestat de Studii Complementare în Îngrijiri Paliative, Centrul Național de Perfecționare în Domeniul Sanitar – Bucureşti</p>
<p>2004: Certificat de Competență în Medicina de Întreprindere, Centrul Național de Perfecționare în Domeniul Sanitar – Bucureşti</p>",,,,https://nord.ro/medici/dr-poenita-monica/
Dr. Barabancia Romete Simona,"Medic primar Chirurgie Plastică, Estetică și Microchirurgie reconstructivă",dr-barabancia-romete-simona.jpg,,"<p>Consultații chirurgie plastică microchirurgie reconstructivă</p>
<p>Intervenții spitalizare de zi și continuă</p>","<p>2011- prezent medic primar chirurgie plastică microchirurgie reconstructivă NORD Muntenia Hospital</p>
<p>2013- prezent medic sef sectia Chirurgie Plastica si Microchirurgie Reconstructiva – Spitalul Judetean Arges</p>","<p>2008 Medic Primar</p>
<p>2002 Medic Specialist</p>
<p>2000 Perfecționare postuniversitară în microchirurgie vase și nervi periferici (UMF Iuliu Hațieganu-Cluj</p>
<p>1996 Absolventă a Facultății de Medicină și Farmacie „Gr.T.Popa” Iași</p>",,,,,https://nord.ro/medici/dr-barabancia-romete-simona/
Dr. Ursescu Diana,Medic Primar Hematologie,dr-ursescu-diana.jpg,,<p>Hematologie</p>,<p>2018- prezent: Medic specialist Hematologie – NORD Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-ursescu-diana/
Dr. Dolofan Oana Claudia,Medic Primar Radiologie și Imagistică Medicală,dr-dolofan-oana-claudia.jpeg,,"<p>Radiologie și Imagistică Medicală</p>
<p>Ecografie generală</p>
<p>Tomografie computerizată</p>
<p>DEXA</p>",<p>2017- prezent: Medic Primar Radiologie și Imagistică Medicală NORD Muntenia Hospital</p>,"<p>2013 – Obținerea competenței de Tomografie Computerizată, Spitalul Clinic Colțea, București.</p>
<p>2013 – Obținerea permisului de exercitare a activităților nucleare nivel 2.</p>
<p>2012 – Obținerea titlului de Medic Specialist în Specialitatea „Radiologie și Imagistică Medicală”.</p>
<p>2010 – Obținerea competenței de Ecografie Generală, Spitalul Clinic Colțea, București.</p>
<p>2007: Concurs Național de Intrare în Rezidențiat, specialitate Radiologie – Imagistică Medicală, Spitalul Clinic Colțea, București.</p>
<p>2007: Susținerea examenului de LICENȚĂ, cu titlul „Artrita Idiopatică Juvenilă”.</p>
<p>2002: Atestat de Biostatistică Medicală.</p>
<p>2001-2007: U.M.F. „Carol Davila”, București, Facultatea de Medicină – specializare Medicină Generală.</p>
<p>1997-2001: Colegiul „Zinca Golescu”, Pitești, Argeș.</p>","<p>2011: Congres Național de Rezonanță Magnetică cu participare internațională, Spitalul Universitar de Urgență Militar Central „Dr. Carol Davila”, București.</p>
<p>2010: Conferința Națională de Imagistică a Sânului, Sibiu, România.</p>
<p>2010: Congresul European de Radiologie, Viena, Austria.</p>
<p>2009: ESOR GALEN Foundation Course ‘Chest/Cardiovascular Radiology’, Belgrad, Serbia și Muntenegru.</p>
<p>2009: Curs precongres „TBC”, București.</p>
<p>2009: Congresul Național de Radiologie și Imagistică Medicală, București, România.</p>
<p>2007: Concurs Național de Intrare în Rezidențiat, specialitate Radiologie – Imagistică Medicală, Spitalul Clinic Colțea, București.</p>",,,"<p>2009 – prezent Membră a ESR (European Society of Radiology).</p>
<p>Septembrie 2010 Membră a Colegiului Medicilor din România</p>",https://nord.ro/medici/dr-dolofan-oana-claudia/
Dr. Stancu Ana-maria,Medic specialist Endocrinologie,dr-stancu-ana-maria.jpeg,,"<p>Endocrinologie</p>
<p>Ecografia endocrină</p>","<p>2024-Prezent: Medic specialist endocrinologie, Nord Muntenia Hospital</p>
<p>2023- prezent: Medic specialist endocrinologie, Spital Orăşenesc Mioveni</p>
<p>2021: Contract gărzi linia 2 în Institutul Naţional de Endocrinologie „C.I.Parhon” Parhon”, București Voluntariat campanie de screening „Asumă ţi să fii sănătos” UMFCD , Bucureşti Voluntariat centru de vaccinare ȋmpotriva COVID 19 Institutul Naţional de Endocrinologie „C .I. Parhon”, București</p>
<p>2011-2017 : Voluntariat- Caravana cu Medici, Voluntariat- Ȋmpreună pentru Sănătatea Rurală, Voluntariat- Micii Sanitari</p>","<p>2019- prezent: Doctorand la Universitatea de Medicină şi Farmacie „Carol Davila”, Bucureşti,</p>
<p>2023: Medic specialist endocrinologie, cu competenţă ȋn ecografia endocrină Institutul Naţional de Endocrinologie „C.I.Parhon”, Bucureşti</p>
<p>2018-2022: Medic rezident endocrinologie -Institutul Naţional de Endocrinologie „C.I.Parhon”, București</p>
<p>2011 – 2017 : Diplomă de Licență, Facultatea de Medicină Generală din cadrul Universității de Medicină și Farmacie „Carol Davila”</p>","<p>2022- 2023: Proiect Net4Science: Reţea de cercetare doctorală şi postdoctorală aplicativă ȋn domeniile de specializare inteligentă Sănătate şi Bioeconomie Contract de finanţare POCU/993/6/13/154722.</p>
<p>2022: Atestat curs “OSTEOPOROZA: Esenţialul ȋn Densitometrie, Diagnostic şi Management” –Societatea Internaţională de Densitometrie Clinică (ISCD), Fundaţia Internaţională de Osteoporoză(IOF).</p>
<p>2020: General Course on Intelectual Property –WIPO Academy.</p>
<p>2016: SCOPE IFMSA–Stagiu de practică clinică ȋn Departamentul de Cardiologie, University Hospital Pleven, Bulgaria .</p>
<p>2016: Proiect “Ultrasound for medical students-Part1” –participant activ, Spitalul Clinic Dr.I. Cantacuzino, Bucureşti.</p>
<p>2015: PERFMED: Proiect POSDRU/161/2.1/G/135802-Parteneriat pentru o carieră de succes în specialităţile medicale implicate în patologia renală.</p>
<p>2015: SCORE IFMSA –Stagiu practic de cercetare ȋn Departamentul de Biochimie, Biofizică şi Patologie Generală, Second University of Naples, Italia. Proiect: “Androgen action in hormone-dependent and independent prostate cancer cells”.</p>
<p>2015: Proiect POSDRU/156/1.2/G/141754“Aplicarea metodologiilor de cercetareştiinţifică ȋn domeniul ştiinţelor medicale şi promovarea culturii antreprenoriale pentru facilitarea inserţiei pe piaţa muncii a studenţilor medicinişti din ciclul de studii universitare de licenţă”–lucrare ştiinţifică: “Complicaţiile asociate implantării transcateter de valvă aortică”</p>
<p>2019- Congresul Universităţii de Medicină şi Farmacie Carol Davila Bucureşti, Ediţia a VII-a</p>
<p><em>Al XIX-lea Congres Naţional de Medicină Internă”, Călimăneşti-Căciulata: </em>Poster:<strong>“</strong>Hiperparatiroidismul primar –patologie frecventă, însă subdiagnosticată şi complicată ce necesită echipă medicală multidisciplinară”, AM. Stancu, I.Sandu, A. Dumitrașcu, C. Badiu</p>
<p>Conferinţa Colegiului Medicilor din Municipiul Bucureşti, Ed a VII-a</p>
<p>Conferinţa Naţională Managementul Interdisciplinar al Diabetului Zaharat şi Complicaţiile sale (INTERDIAB), Ed. a V-a</p>
<p><em>2018- Al XXVI-lea Congres Naţional de Endocrinologie, Sibiu: </em>Menţiune poster: “Patologia endocrină la pacienţii diagnosticaţi cu tumori neuroendocrine”, AM Stancu, R. Dobrescu, C.Badiu</p>
<p> </p>",,,,https://nord.ro/medici/dr-stancu-ana-maria/
Dr. Mihăilă Adrian,Medic primar Obstetrică - Ginecologie,dr-mihaila-adrian.jpg,,"<p>Consultații Obstetrică – Ginecologie</p>
<p>Ecografie</p>",<p>2016 – prezent: Medic Primar Obstetrică- Ginecologie –  Nord Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-mihaila-adrian/
Dr. Guiță Alexandru Gigel,Medic primar ATI,dr-guita-alexandru-gigel.jpeg,,<p>ATI</p>,"<p>2022 – Prezent: Medic Primar ATI, Nord Muntenia Hospital</p>
<p>2020 – Director executiv, Direcția de Sănătate Publică Argeș</p>
<p>2010 – 2018: Comandant/Director General, Spitalul Militar de Urgenţă „Dr.Ion Jianu”</p>
<p>2001 – 2010: Șef Secția A.T.I., Spitalul Militar de Urgenţă „Dr.Ion Jianu”</p>
<p>1993 – 2001: Ofițer-medic Anestezie Terapie intensivă, Spitalul Militar de Urgenţă „Dr.Ion Jianu”</p>","<p>2011: Management Spitalicesc, Școala Națională de Sănătate Publică, Management și Perfecționare în Domeniul Sanitar București</p>
<p>2005-2007: Master Managementul Serviciilor Sociale și de Sănătate, <span lang=""RO"" style=""font-size: 12.0pt"">Universitatea din Pitesti</span></p>
<p>1998: Medic Primar Anestezie și Terapie Intensivă, Ministerul Sănătății</p>
<p>1990-1993 : Medic Specialist Anestezie și Terapie Intensiva, Rezidențiat în specialitatea Anestezie și Terapie intensivă, Universitatea de Medicină și Farmacie „Carol Davila” București</p>
<p>1980 – 1986:  Doctor-Medic Locotenent (1984); Ofiter-medic Specializarea Medicină Generală Institutul Medico-Militar Bucuresti Institutul de Medicină și Farmacie București Facultatea de Medicină Generală</p>",,,,,https://nord.ro/medici/dr-guita-alexandru-gigel/
Psih. Drăgan Codruța,Psiholog clinician,psih-dragan-codruta.jpeg,,"<p>Consultanții de specialitate</p>
<p>Evaluarea și diagnoza copiilor, tinerilor, membrilor familiei:</p>
<p>consiliere psihologică – prin tehnici de formare și educare a unor deprinderi și atitudini ce contribuie la învățarea eficientă, a capacităților de integrare în viața comunitară, a conduitelor și atitudinilor sănogene;</p>
<p>consiliere vocațională: prin aplicarea metodelor și tehnicilor de identificare a aptitudinilor, valorilor și intereselor profesionale;</p>
<p>cercetare: participarea în activități de cercetare specifice domeniului;</p>
<p> </p>
<p>Psihodiagnostic și evaluare clinică:</p>
<p>evaluare subiectiv-emoțională;</p>
<p>evaluare cognitivă;</p>
<p>evaluare comportamentală;</p>
<p>evaluare bio-fiziologică (ex. prin proceduri de bio-feedback);</p>
<p>evaluarea simplă a personalității și a mecanismelor de coping/adaptare/defensive;</p>
<p>evaluarea psihologică asociată activităților cu cupluri sau familii (sau altor grupuri);</p>
<p>evaluarea contextului familial, profesional, social, economic, cultural în care se manifestă problemele psihologice;</p>
<p> </p>
<p>Intervenție/asistență/consultanță psihologică:</p>
<p>educație pentru sănătate, promovarea sănătății și a unui stil de viață sănătos (ex. prin prevenție primară și secundară), prevenirea îmbolnăvirilor (ex. prin modificarea stilului de viață);</p>
<p>elaborarea, implementarea, monitorizarea și evaluarea programelor de promovare a sănătății și de prevenire a îmbolnăvirilor la nivel individual, de grup, comunitar și/sau guvernamental;</p>
<p>intervenții specifice pentru persoanele cu nevoi speciale [aria psihopedagogiei speciale în condiții de psihopatologie (ex. logopedie clinică)];</p>
<p>consiliere și terapie suportivă;</p>
<p>optimizare și dezvoltare personală, autocunoaștere.</p>",,"<p>Facultatea de Psihologie, specialitatea Psihologie</p>
<p>Absolvent al Scolii de Psihoterapie Experientiala si a Unificarii (P.E.U.) centrata pe adult – copil – cuplu – familie, program de studiu finalizat cu drept de libera pratica in consiliere psihologica.</p>
<p> </p>
<p> </p>
<h4></h4>",,,,,https://nord.ro/medici/psih-dragan-codruta/
Dr. Tase Adrian,Medic Primar Cardiologie,dr-tase-adrian.jpg,,"<p>Consult cardiologic complet (clinic, EKG, ecografie cardiacă)</p>
<p>Ecografie cord 2D+Doppler</p>
<p>Montare, monitorizare, interpretare holter EKG/TA</p>
<p>EKG de repaus cu interpretare</p>",<p>2011- prezent: Medic Primar Cardiologie – NORD Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-tase-adrian/
Dr. Constantin Andreea Poliana,Medic primar Dermato-Venerologie,dr-constantin-andreea-poliana.jpg,,"<p>Consultații Dermato-Venerologie</p>
<p>Intervenții Spitalizare de Zi</p>",,,,,,,https://nord.ro/medici/dr-constantin-andreea-poliana/
Dr. Gliga Silvia,Medic Primar Radiologie și Imagistică Medicală,dr-gliga-silvia.jpeg,,"<p>Radiologie și Imagistică Medicală</p>
<p>Ecografie</p>
<p>Mamografie</p>
<p>Tomografie computerizată</p>
<p>Rezonanță Magnetică Nucleară</p>","<p>2015- prezent: Medic Primar Radiologie și Imagistică Medicală – NORD Muntenia Hospital</p>
<p>2008: Medic Primar Radiologie și Imagistică Medicală – Spitalul de Urgență Pitești</p>
<p>2000 – 2008 – Medic Primar Radiologie și Imagistică Medicală – Spitalul Calinesti</p>
<p>1995 – 2000 – Rezident Medic specialist Radiologie și Imagistică Medicală –  Spitalul Coltea, București</p>
<p>1993 – 1995: Medic medicină generală Costești</p>
<p>1991 – 1993: Medic medicină generală Draganești</p>
<p>1989 – 1991: Stagiar Spitalul Județean Pitești.</p>",,"<p>2008- Competenta Rezonanta Magnetica Nucleara</p>
<p>2006- Curs de ecografie tiroidă și paratiroidă – Cluj</p>
<p>2004 – Curs de specializare și competență de mamografie și ecografie sân, Spitalul Clinic Fundeni</p>
<p>2001 – Competență în ecografii.</p>",,,,https://nord.ro/medici/dr-gliga-silvia/
Dr. Babalâc Dumitrache Robert,Medic Primar Ortopedie - Traumatologie,dr-babalac-dumitrache-robert.jpg,,<p>Ortopedie – Traumatologie</p>,<p>2011 – prezent: Medic Primar Ortopedie – Traumatologie – Nord Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-babalac-dumitrache-robert/
Dr. Cîrlan Alexandru Constantin,Medic specialist ortopedie traumatologie,dr-cirlan-alexandru-constantin.jpeg,,"<p>Consultații medicale de specialitate</p>
<p>Infiltrații articulare și periarticulare</p>
<p>Intervenții chirurgicale</p>","<p>2020- prezent: Medic specialist ortopedie traumatologie NORD Muntenia Hospital</p>
<p>2020 – prezent: Medic specialist ortopedie traumatologie, Spitalul Militar de Urgență „Dr. Ion Jianu”, Pitești</p>","<p>2015-2019: Medic rezident ortopedie- traumatologie, Spitalul Clinic Universitar de Urgență Militar Central „Dr. Carol Davila”, București.</p>
<p>2016: Stagiu de artroscopie – Spital Clinic Universitar de Urgenta Militar Central “Dr.Carol Davila” Bucuresti, Congres Societatea Română de Ortopedie si Traumatologie – Timișoara</p>",,,,,https://nord.ro/medici/dr-cirlan-alexandru-constantin/
Dr. Todorovic Petar,"Medic specialist Chirurgie plastică, estetică și microchirurgie reconstructivă",dr-todorovic-petar.jpg,,"<p>Chirurgie plastică, estetică</p>
<p>Microchirurgie reconstructivă</p>","<p>2022- prezent: Medic specialist Chirurgie plastică, estetică și microchirurgie reconstructivă – NORD Muntenia Hospital</p>","<p>2019 – 2021: Contract de garzi chirurgie plastica, estetica si microchirurgie reconstructiva cu SUUB</p>
<p>2017 – 2021: Bucuresti, România Medic rezident – Chirurgie plastica, estetica si microchirurgie reconstructiva SUUB</p>
<p>2010 – 2016: Bucuresti, România-Doctor – Medic – UMF Carol Davila</p>
<p>2005  – 2009: Zaječar, Serbia-MEDICINSKA SESTRA – TEHNIČAR; Asistent medical generalist – Srednja Medicinska Škola;</p>","<p>2021 – Online Master series -Microsurgery for residents ed.2 webinar</p>
<p>2020 – Online Master series -Microsurgery for residents ed.1</p>
<p>2020 – Webinar Abordarea integrată a cancerului mamar</p>
<p>2019 – București Tendințe emergente în chirurgia plastică</p>
<p>2019 – București Al XVI-lea congres al asociației chirurgilor plasticieni din Romania; Tema:Chirurgia plastica a secolului XXI</p>
<p>2018 – Actualități în chirurgia plastică. Dileme în vindecarea tisulară</p>
<p>2017 – București Skin cancer-curs de dermatoscopie cu participare internațională</p>
<p>2017 – București Neauvia art of beauty -from product to techniques for beauty perfection</p>
<p>2017 – Bucuresti A 3-a conferința națională de chirurgie oculo plastică</p>
<p> </p>
<p> </p>",,,,https://nord.ro/medici/dr-tudorovic-petar/
Dr. Todorovic Teodora-adela,Medic specialist Dermatovenerologie,dr-todorovic-teodora-adela.jpeg,,"<p>Consultații de specialitate</p>
<p>Eliberare avize dermatologice pentru recuperare medicală</p>
<p>Eliberare Dosare medicale pentru dosar de handicap</p>",,"<p>2017-2021 – Medic Rezident DERMATOVENEROLOGIE – Spitalul Clinic Colentina , București</p>
<p>2010-2016 – Universitatea de Medicină și Farmacie „Carol Davila” București</p>","<p>2019: Workshop „Full Face Reshaping”, București</p>
<p>2018: Al 19-lea Congres Național de Dermatologie cu participare internațională Brașov</p>
<p>2018: Al 17-lea Congres Național de Dermatologie cu participare internațională Târgu-Mureș</p>
<p>2018: Conferința Națională a Medicilor Rezidenți Dermatovenerologie Reziderma, ediția 5, București</p>
<p>2018: Al IV-lea Congres al Clubului Regal al Medicilor – Împreună construim excelența, București</p>
<p>2018: Lilly imunologie, modulul 1 – Cunoașterea și înțelegerea terapiilor biologice din psoriazis</p>
<p>2018: Lilly imunologie, modulul II – Terapia biologică în psoriazis – profiluri de pacienți eligibili pentru această soluție terapeutică, București</p>
<p>2018: Lilly imunologie, modulul III: Diferențierea biologicelor cu indicație în psoriazis, dedicat medicilor rezidenți specialitatea Dermatologie, București</p>
<p>2018: Lilly imunologie, modulul IV: Terapia biologică în psoriazis. Profilul de siguranță oferit de medicamentele biologice și diferențele ce pot să apară între acestea, dedicat medicilor rezidenți specialitatea Dermatologie, București</p>
<p>2017: Pentagon Events SKIN CANCER – Curs de dermatoscopie cu participare internațională, Spitalul Universitar de Urgență Elias, București</p>
<p>2017: NEAUVIA art of beauty – de la produs la tehnici pentru perfecționarea frumuseții, București</p>",,,,https://nord.ro/medici/dr-todorovic-teodora-adela/
Dr. Florea Marius Daniel,Medic primar Chirurgie Generală,dr-florea-marius-daniel.jpg,,<p>Chirurgie generală</p>,<p>2016 – prezent: Medic Primar Chirurgie generală – NORD Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-florea-marius-daniel/
Dr. Ionescu Loredana,Medic specialist Boli Infecțioase,dr-ionescu-loredana.jpeg,,"<p>-Consultații de specialitate</p>
<p>-Ultrasonografie generală</p>
<p>-Medicina de călătorie</p>","<p>2024-prezent : Medic specialist Boli Infecțioase Nord Muntenia Hospital</p>
<p>2017-  prezent : Medic Specialist Boli Infecțioase Copii</p>
<p>2012-2016 : Medic rezident Boli Infecțioase – programul național de rezidențiat(Spitalul de Boli Infecțioase și Pneumoftiziologie „<em>Victor Babeș</em>” – Craiova)</p>","<p>2012- 2016: Medic Specialist Boli Infecțioase (Program național de rezidențiat desfășurat in Centrul Universitar Craiova)</p>
<p>2006- 2012: Universitatea de Medicină și Farmacie din Craiova – Specialitatea Medicină Generală</p>
<p>2004- 2006: Colegiul Național „<em>Radu Greceanu</em>” – Slatina , Olt (Specialitatea Stiințe ale naturii)</p>",,,,,https://nord.ro/medici/dr-ionescu-loredana/
Dr. Diaconu Bogdan,Medic primar Radiologie și Imagistică Medicală,dr-diaconu-bogdan.jpg,,"<p>Competențe în: ecografie, CT, RMN</p>",<p>2012 – prezent: Medic Primar Radiodiagnostic &amp; Imagistică Medicală- Nord Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-diaconu-bogdan/
Dr. Stanică Gabriel,Medic Primar Cardiologie,dr-stanica-gabriel.jpg,,"<p>Consult cardiologic complet (clinic, EKG, ecografie cardiacă)</p>
<p>Ecografie cord 2D+Doppler</p>
<p>Montare, monitorizare, interpretare holter EKG/TA</p>
<p>EKG de repaus cu interpretare</p>",<p>2018 – prezent: Medic Primar Cardiologie NORD Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-stanica-gabriel/
Dr. Popa Theodor,Medic specialist Ortopedie – Traumatologie,dr-popa-theodor.jpeg,,"<p>Consultații Ortopedie – traumatologie</p>
<p>Injectabile</p>
<p>Intervenții chirurgicale genunchi</p>
<p>Intervenție chirurgicală șold</p>
<p>Intervenții chirurgicale umăr</p>
<p>Intervenții chirurgicale gleznă și picior</p>
<p>Intervenții chirurgicale pumn și mână</p>
<p>Intervenții chirurgicale traumatologie membru superior</p>
<p>Intervenții chirurgicale traumatologie membru inferior</p>","<p>NORD Muntenia Hospital</p>
<p>Spitalul Orășenesc Mioveni</p>
<p>Spitalul Clinic de Urgență București – Spitalul Floreasca</p>
<p>Spitalul Clinic de Ortopedie, Traumatologie și TBC Osteoarticular FOISOR</p>
<p>Ortopedie și Traumatologie Sportivă Clinica Privată</p>
<p>Spitalul Județean de Urgență Pitești</p>",,,,,"<p>Societatea Română de Ortopedie și Traumatologie – SSROOT</p>
<p>Societatea Română de Artroscopie și Traumatologie Sportivă – SRATS</p>
<p>Societatea Științifică Română de Oxigen-Ozonoterapie – SSROOT</p>",https://nord.ro/medici/dr-popa-theodor/
Dr.păun Cazia,Medic Primar Obstetrică - Ginecologie,drpaun-cazia.jpeg,,<p>Obstetrică – Ginecologie</p>,<p>2015 – prezent: Medic Primar Obstetrică- Ginecologie –  Nord Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-paun-cazia/
Dr. Iordache Madalina,"Medic primar Chirurgie Plastică, Estetică și Microchirurgie reconstructivă",dr-iordache-madalina.jpeg,,"<p>Consultații de specialitate Chirurgie Plastică, Estetică și Microchirurgie reconstructivă</p>
<p>Tratamente și proceduri în spitalizare de zi și spitalizare continuă – Chirurgie Plastică, Estetică și Microchirurgie reconstructivă</p>","<p>2020-prezent Nord Muntenia Hospital Medic primar Chirurgie Plastică, Estetică și Microchirurgie reconstructivă</p>
<p>2018 medic specialist Chirurgie Plastică, Estetică și Microchirurgie reconstructivă în cadrul Spitalului Județean de Urgență Argeș</p>
<p>2013 – 2018: Rezidențiat – Chirurgie Plastică și Microchirurgie reconstructivă în cadrul Spitalului Clinic de Urgență – București</p>
<p>2012: Absolventă a Universității de Medicină și Farmacie Craiova</p>",,,,,,https://nord.ro/medici/dr-iordache-madalina/
Dr. Nurciu Mihai,Medic Primar Obstetrică - Ginecologie,dr-nurciu-mihai.jpg,,<p>Obstetrică – Ginecologie</p>,"<p>2011 – prezent: Medic Primar Obstetrică- Ginecologie –  Nord Muntenia Hospital</p>
<p>2006 – 2011: Director Medical și Medic Șef – Maternitate Spital Călinești, Județul Argeș</p>
<p>2003 – 2006: Medic Primar Obstetrică- Ginecologie – Șef Maternitate Spital Călinești, Judetul Argeș</p>
<p>1997 – 2003 : Director General, Medic Primar Obstetrică- Ginecologie, Șef Maternitate Spital Călinești, Judetul Argeș</p>
<p>1991 – 1997 : Medic Primar Obstetrică- Ginecologie – Spital Călinești, Județul Argeș</p>
<p>1986 – 1991 : Medic Specialist Obstetrică- Ginecologie – Spital Călinești, Policlinica Topoloveni, Județul Argeș</p>
<p>1983 – 1986:  Medic rezident Obstetrică- Ginecologie, Spital Caritas, București</p>
<p>1981 – 1983: Medic Medicina Generală – Spital Călinești, Dispensar Călinești, Județul Argeș</p>
<p>1978 – 1981: Medic Medicină Generală – Spital Județean Argeș</p>",,,,,,https://nord.ro/medici/dr-nurciu-mihai/
Dr. Crăsneanu Mugurel-alexandru,Medic specialist Urologie,dr-crasneanu-mugurel-alexandru.jpg,,"<p>Urologie generală</p>
<p>Urologie oncologică</p>
<p>Urologie reconstructivă</p>
<p>Ultrasonografie</p>","<p>2020 – prezent: Medic Specialist Urologie – NORD Muntenia Hospital</p>
<p>2019 – prezent: Medic Specialist Urologie-Spitalul Militar de Urgență „Dr. Ion Jianu” Pitești</p>
<p>2018 – 2019: Medic Specialist Urologie -Spitalul Județean de Urgență Pitești</p>
<p>2018 – 2019: Medic Specialist Urologie – Clinici private</p>
<p>2017 – 2018: Medic Specialist Urologie-Institutul Clinic Fundeni, București</p>
<p>2012 – 2016: Medic rezident Urologie- Institutul Clinic Fundeni, București</p>","<p>2005 – 2011: Doctor-medic Universitatea de Medicina si Farmacie „Carol Davila”, București (România)</p>","<p>2020: Curs tratament minim invaziv al litiazei urinare Stone institute-Boston</p>
<p>2017: Competență în ultrasonografie</p>
<p>2016: ESUT Hands on training in Laparoscopy- EUREP Prague</p>
<p>2016: ESUT Hands on training in Flexible Ureterorenoscopy- EUREP Prague</p>
<p>2013: ESUT/EULIS Hands on training Ureterorenoscopy – Central European Meeting (CEM) Prague</p>
<p>2013: ESUT Hands on training in Laparoscopy-Central European Meeting (CEM) Prague</p>
<p>2012: Tehnici chirurgicale de bază în microchirurgie – Hands-on -Institutul Clinic de chirurgie generală și transplant hepatic Fundeni</p>",,"<p>PERINEAL URETHROSTOMY– FAST AND SAFE ACCESS FOR TURB IN ASSOCIATED LONG PENILE URETHRAL STRICTURE CASES C. Gîngu, M. Crăsneanu, A. Dick, C. Surcel, F. Lupu, M. Hârza, Mihaela Mihai*, Liliana Domnişor**, I. Sinescu Revista Română de Urologie, 2014, vol.13, nr.1, pag.14-17, ISSN: 1223-0650 (CNCSIS-B+486)</p>
<p>GIANT VERRUCOUS CARCINOMA OF THE PENIS – CASE REPORT C. Gîngu, A. Turcanu, A. Dick, M. Crasneanu, S. Patrascoiu, C. Surcel, V. Zogas, Liliana Domnişor, Mihaela Mihai, M. Hârza, I. Sinescu Revista Română de Urologie, 2014, vol.13, nr.1, pag.36-39, ISSN: 1223-0650 (CNCSIS-B+486)</p>
<p>TOTAL GLANS RESURFACING FOR “IN SITU” SQUAMOUS CELL CARCINOMA OF THE PENIS C. Gingu, V. Olaru, A. Dick, C. Baston, M. Crăsneanu, S. Pătrășcoiu, C. Surcel, O. Himedan, L. Domnișor, I. Sinescu Revista Română de Urologie, 2014, vol.13, nr.3, pag.53-57, ISSN: 1223-0650 (CNCSIS-B+486)</p>
<p>SIMULTANEOUS RADICAL ORCHIECTOMY AND PRIMARY RPLND IN A CASE OF CANCER DEVELOPED ON A SECONDARY INTRA-ABDOMINAL TESTIS C. Gîngu, A. Dick, F. Lupu, C. Baston, M. Crăsneanu, C. Surcel, L. Domnisor, M. Mihai, I. Sinescu Revista Română de Urologie, 2014, vol.13, nr.4, p.51-55, ISSN: 1223-0650 (CNCSIS-B+486)</p>
<p>THE OPTIMAL TIME FOR THE FIRST PSA EVALUATION POST RADICAL PROSTATECTOMY Gîngu C, Crăsneanu M, Baston C, Dick A, Surcel C, Voinea S, B. Ştefan, Cerempei V, Domnişor L, Sinescu I. Revista Română de Urologie, 2014, vol.13, nr.4, p.39-42, ISSN: 1223-0650 (CNCSIS-B+486)</p>
<p>RECOVERY OF SEXUAL FUNCTION AFTER RADICAL CYSTECTOMY WITH ORTHOTOPIC NEOBLADDER Gîngu C, Olaru V, Dick A, Baston C, Crăsneanu M, Surcel C, Voinea S, Domnişor L, Sinescu I. Revista Română de Urologie, 2014, vol.13, nr.4, p.28-32, ISSN: 1223-0650 (CNCSIS-B+486</p>",,https://nord.ro/medici/dr-crasneanu-mugurel-alexandru/
Dr. Șimon Elena,Medic Specialist Obstetrică - Ginecologie,dr-simon-elena.jpeg,,"<p>Consultații Obstetrică – Ginecologie</p>
<p>Ultrasonografie și Colposcopie</p>
<p>Servicii de spitalizare de zi si continua</p>",<p>2016 – prezent: Medic Primar Obstetrică- Ginecologie –  Nord Muntenia Hospital</p>,,,,,,https://nord.ro/medici/dr-simon-elena/
